"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60"
"SRR12632429",68.4202073915784,-12.3634335053415,-129.130068508445,-23.992368671887,24.4184469370804,-32.9576515410028,-1.41699708055406,-30.2547743476751,12.7354018470677,43.3099169714094,-41.429434410231,-11.529232927964,23.1716662071126,-14.591247318383,-21.3830726064213,-25.3724271713554,-13.8230877097022,13.8483131094178,-11.8325658825141,-13.2758270326301,-14.5855845921917,18.5842661508373,23.1571924864111,6.68422858990737,21.665514395134,-28.3362488684521,8.54508397047087,-7.6895171993454,-9.41717672255822,-28.0853537913912,0.0779931359546508,-0.738576503872455,20.4030446153468,-0.903763180009683,10.4081696751539,-5.57841946041651,-5.312357714672,-3.40252469484147,-17.7700852816084,0.420526309288588,7.75088378381891,2.6715961836083,-8.78392773447294,18.1465423327338,-17.7573925036926,63.8375123426546,0.41872460771255,29.3951534076259,-29.0154255247921,6.51345107576585,-6.09302175460486,-10.2466415214523,-8.55472714331717,-3.1849197799078,3.06917150053384,-1.19850040938212,-6.08832103971369,2.14515073757277,-0.208293887691155,7.56144279134841e-15
"SRR12632428",93.3712889545151,-17.6972651206413,-116.827459172811,-31.8776837714659,0.295121260606667,-17.4607149065678,5.05822117673391,-17.0121116336548,-26.6382697123485,-2.89737109477431,-21.3508104216462,-44.7696253991139,19.2560540800592,-15.1968025451068,8.79510338636378,-17.8292492639945,10.2860285825843,-9.18861315808249,-21.8401648911452,-20.5604104568072,-26.3393536196254,34.481124994762,17.2173297610617,11.5670618932861,9.26709200574241,-26.5557490205963,-7.52934275309431,-1.55138824917654,-8.11618492770983,-4.13573463765932,-8.80688095830572,4.95417785196702,11.1510789006141,-1.12286807161935,-11.6907614349571,13.9242614186691,12.5339215456937,-3.98685180057235,-2.79620416283188,0.686834698017619,4.28298278816236,-5.92847491005952,10.6341273345764,0.702248535643745,-2.72452115619576,-51.5363783016091,-3.04031572277721,-41.2320173125956,-26.2869821201368,-14.2235847238488,-42.0841518160328,3.65413744952207,-1.31719218325225,1.34498197593659,12.6512773150368,6.45014504090881,-4.87406103742392,0.974249597800719,-0.791133834804388,-1.73567432128208e-13
"SRR12632446",-103.3875793416,96.9020398690864,49.6388342327592,-17.0829470369908,-19.7200651365305,4.88716510649094,-8.38272668773644,-35.3908204945374,24.1235200283809,-28.4567320790181,19.6777499681222,-61.215263891489,7.34757834476591,-8.06989439177413,28.4460457388342,45.6292328865148,12.5585720157936,-24.0300234136408,4.33265973856411,-0.0940273993458132,-0.324157546425999,13.9395221512613,-13.4451299787785,-35.7413610096261,-25.578294291303,-27.2397742938108,-5.41147377293319,17.6862567867527,23.4579182487708,2.94910698923364,26.8971513402382,-38.496464946707,-16.0974927814448,-35.3851994997873,22.8653385002691,16.8693272481292,-2.65820678415249,-32.5770224012008,-45.2795357460006,14.4289165678775,1.20296975398354,18.2754253469871,7.82690574868513,3.27503819656382,-5.40708006057877,8.26556924947892,0.361979897480373,-0.932613295650914,2.21739176041474,-2.68752410789833,-5.03437036778573,-6.15244690841318,-6.17949938855851,-2.03563037750997,2.05078550373015,0.316253334055106,-15.6208010755642,2.419502109586,0.0622537314357085,-3.73017155358424e-13
"SRR12632444",-129.545730745482,107.726873347958,51.8619097847458,-14.5674627792043,16.9740776460822,-21.2374154180198,-0.849201176980024,-54.9366915062573,70.876460966188,66.2407768725604,-19.8263988356651,-33.2091181769629,-27.0551844397294,16.4832315119678,-31.3558246982815,0.15882111403987,17.223065943644,-33.8732666646294,2.71186238125465,17.9555770730487,-22.6496029207652,11.9822333470514,-41.4725706033263,-27.0641693331027,-47.0225315468189,-8.78233265831916,14.2258046387788,-34.2865717335491,-25.2464128203631,-1.50166502962799,-16.9205726418359,30.5047853520716,5.2075584970034,6.62740999775604,-21.6169465345907,-8.98105240992698,-10.1542426852162,32.363722163917,15.0338728060605,-9.72590650298678,-8.72433519989737,-15.983097855024,0.0504257573639743,1.32796771264009,4.42685875416815,-1.65730871045906,-0.686106752759326,-1.83563403488592,-3.5681158986024,0.359904675661402,-1.91345215208694,0.395398362732233,-0.313080385123277,2.78486114609668,-1.17519613665268,-0.913449159786058,-16.8619883724651,4.74640625175678,0.775777276138553,-4.62049886199023e-13
"SRR12632447",-147.239762086637,48.7725493768577,96.0565139867295,-40.5618594282525,25.6988703944912,-43.1838620369519,-34.181531538394,-86.4115989569515,80.3968101118945,20.3864841679249,-19.2967632701257,-15.1298111504842,24.7434947662702,34.8374495770989,24.5740025444702,17.8021853798589,15.572761777991,36.5829952522186,-19.1914030775504,-15.0567291365748,24.2840902421757,-17.20412044201,28.7343303701323,33.3163090542328,71.4662069461096,30.9928563544423,-1.34080681667732,3.63705664624856,2.68005722351571,13.3979626680488,-4.67903347283261,-9.73192998918974,-5.88496722959805,6.25486374063189,0.741607724866607,0.653704280929969,14.7488216902742,-6.19885756148264,22.7808013449289,1.02119195681119,5.00347275452495,7.04539532781365,-5.42023207015885,-0.340002379369442,-2.81746674537864,-10.8183873155632,2.5172674190094,0.436536348211987,-1.86684857616608,0.213610254214873,0.143402237733427,1.31065351716101,2.84394255242717,5.4549758689914,0.838905503640381,-4.41998510542794,-13.9782620704637,2.79963512009595,1.54106010526739,-2.23578859419316e-13
"SRR12632404",78.9246545247963,-23.4377116438665,30.8690321259527,75.144937577444,-21.5695837909932,-7.54863287319814,2.4848784924545,17.831186686406,-38.2392532369982,8.0057726028395,0.439933281451332,-21.2536071156554,10.9352252801336,9.30277037554882,-0.980603112897753,-1.67055404781292,3.48880018294734,-11.818454156799,-18.0841905515528,-14.6438257232956,-12.6041786239436,12.0051157477152,0.950396727444503,1.35801366851618,-4.63121020242671,-16.3463781233632,0.970223752634584,5.79168433861381,-13.5193060713622,29.2216786276727,6.1109754415043,-15.5171329723844,-17.1726783750223,-1.65196527405802,-11.7047537088953,17.8483229147981,12.6436762178442,-6.14936059003458,16.1535119565129,1.72981394999657,-0.344910483974807,-20.4094886804474,-23.110092680689,13.6646870035266,-29.8258128328255,-19.6837064945773,-11.872301522451,1.53921042466164,-23.4812415572235,29.259033309786,41.9653959062208,-15.5517086259872,2.3845391251247,-2.99383775420095,-34.0438200252767,-27.4202011137498,-11.0350302247808,2.86810131341133,-0.2348840797481,-3.03255576032668e-13
"SRR12632455",65.8545832609083,-29.7157714301027,57.7544867047219,65.7863404278731,-29.0949998910898,-10.6228004214296,9.68501742997686,18.8481386558551,8.46493552336808,25.4678589254947,21.8614158991175,11.3257263068686,-21.645571743547,-11.7641052794888,6.91551882604684,-15.6921806693854,4.1852180348372,0.765901947813314,-11.9789948990712,-1.84675980676355,9.27961147919688,-14.2910950296288,-15.540540672698,-2.55499118144057,-11.5107928989333,13.7157792876562,-8.82746828303567,0.893507886091083,-4.25633851090995,9.60597007027443,-8.4831235507411,-17.9720879153821,-5.72769887652479,8.8453113864001,-6.79102198696902,7.71597529782451,20.4592446568639,-17.8915303546882,21.1243093563186,-9.07150413920346,-13.7065490459055,6.62258168749749,24.7984156678553,22.8565120211209,-34.7072012322353,40.1630375003183,11.9802826565421,-29.5477465439672,9.91930651752805,-20.2694421777726,-27.6665720328389,35.7082812186631,20.2427992494577,-0.239292468773419,-4.82115863547349,-21.5339990740119,-6.65333822277005,3.31098084656811,-0.351932217206517,-1.24328932565865e-13
"SRR12632454",49.6910101730468,-10.6701001582711,46.7498007316273,56.5549360127682,-26.5177728726965,-9.26935388944688,3.7938492966854,23.7001635619682,-2.70697812333249,-5.03890184625475,38.2758502581846,-5.57286365515555,-8.35092178533663,-4.1032619396039,15.2467721529186,-10.1904292956473,13.5994153348235,-15.7761103295934,-10.1607461715449,-2.46538762062248,-0.978075999116913,-2.12387095238189,-10.3251652156869,-5.7986909979322,2.83435991252678,5.10504768017265,-8.51984545101933,8.88169296232595,-6.65309903011599,32.7055509175473,3.96842842335038,-10.5250814255527,-15.6915663802357,7.87580932083566,-15.5747521621701,7.29770959658231,17.6617220610649,-11.56011235533,28.3577198768072,-16.5972040338579,-5.52558679780249,-18.5422857011661,-5.17946920046143,1.29553999145485,6.17368736939843,7.72286259052902,4.78300934096043,30.3076284865018,-15.0181912096821,4.34839493920419,-2.2700816553524,-11.0842347888546,-9.39842437045951,-28.3233924557363,53.3038110284431,37.2913722943546,-8.49549634951043,1.69411793825215,0.46339376444603,-4.31897573260898e-13
"SRR12632453",53.5892158500679,-17.66694331143,34.7772622697683,79.5168072754797,-8.45473869325071,-26.8761027168937,-3.67834665181545,7.37376676645824,7.27529232435655,41.6315321297948,-5.43099834822664,25.6043136283514,3.70770202365006,3.78681276133546,-20.0883388107685,-3.49696780386312,-19.9346192645447,16.151982266141,7.90952686879185,0.124767357166295,2.22921239843786,-6.70804477923715,8.70764311394046,-0.818098840526552,-7.92313993848562,-14.5817022332146,11.4773953596437,-1.68730423623312,-4.39885026596737,-6.95011163618328,16.5869749489211,-12.2062766825069,-10.589054783143,-18.8175990024005,6.20095721153627,-4.93393858320827,-10.1763160812007,-4.04207144214319,-8.74910044136715,-1.56294704097336,2.37217505183495,17.1335798842008,12.7595137697019,-18.9762752564046,14.0330244621927,-8.36908061747931,-6.85879608644361,-2.79932518405285,-29.0738005977546,15.2067677645544,21.6560783216568,29.8992027047508,40.5497832730163,46.6691564247995,16.5573525948494,24.2207127026717,-8.55146139120381,0.630045182183063,-0.356526223523371,1.82594824676974e-13
"SRR12632452",50.4721507248058,-6.05393445503406,43.9451312812807,60.4093575290995,-3.82079836930694,-11.8680784558379,-2.62382609260177,22.7071820952397,6.9219979771218,30.8769207375211,12.6604308932453,21.8206648779513,-3.14078151949222,-3.12048247038041,-9.73572100843854,-7.7027017980561,-22.366214984444,-9.12621451488008,13.1935546242154,-0.202031843478629,18.2531670494435,-21.2670860627977,-0.983584553262514,3.49498608377296,7.78173547299387,0.408211432021144,2.74484654258973,-3.78909064563575,-16.441542063313,7.99012485637144,4.44893530632806,-10.6141114571012,-14.9396659102691,-12.5883840927588,-7.87007833438335,9.82509644405116,-4.50925948422191,-19.8460599417119,-8.06368263671723,-11.4527703463231,-6.00236650881083,-22.3192572617715,7.18045043475427,-13.8676969418814,32.7101505366263,-9.58193536673713,10.7666603400595,34.2704603808687,-5.43306747835506,-12.9465620312131,-47.4923050466084,-25.3545494842996,-24.5582617511648,31.4611423496076,-22.372969853424,-20.1289833678198,-3.19215666515737,-1.14459656015518,-1.10405685125797,-2.27569157094931e-13
