Gene,IG,GainRatio,Gini,Relief,Cumulative_Weight
BraA07g000460,0.4700125664402984,0.44075904723303466,0.5058390863926706,0.4071598546014835,1.8237705546674872
BraA06g032410,0.5302320079844434,0.48570476925855816,0.5753304648687012,0.2313649418206288,1.8226321839323314
BraA05g003880,0.4338272798464519,0.40538220616287896,0.5456210735220673,0.4223862292788347,1.8072167888102328
BraA01g010840,0.37169934007781025,0.38543345372158394,0.46455212834069176,0.5677481768249198,1.7894330989650058
BraA03g001360,0.41747163307949814,0.3723584155389589,0.5388204143370511,0.45050570896821235,1.7791561719237206
BraA01g006320,0.43285455181023164,0.44075904723303466,0.5388204143370511,0.3641538362603935,1.776587849640711
BraA05g002720,0.4524673845637661,0.3986290152190995,0.5537299897484426,0.36542283449167906,1.770249224022987
BraA06g017000,0.43285455181023164,0.44075904723303466,0.5416265335090743,0.3475023417414207,1.7627424742937612
BraA10g001380,0.4338272798464519,0.40538220616287896,0.5456210735220673,0.36381578560124855,1.7486463451326466
BraA07g034880,0.4236504441593763,0.3723584155389589,0.5416265335090743,0.38173285063009116,1.7193682438375006
BraA03g002440,0.41747163307949814,0.38543345372158394,0.5388204143370511,0.3625363096958251,1.7042618108339582
BraA01g038330,0.43285455181023164,0.44075904723303466,0.4889446961838727,0.3241325327495153,1.6866908279766544
BraA09g042410,0.41747163307949814,0.3723584155389589,0.5388204143370511,0.3537714848880964,1.6824219478436047
BraA09g036170,0.43285455181023164,0.44075904723303466,0.4889446961838727,0.2948170563229742,1.6573753515501133
BraA03g048320,0.41443835905128623,0.3690450688808896,0.44043543606228863,0.4302507500955077,1.6541696140899722
BraA05g033540,0.4338272798464519,0.40538220616287896,0.5456210735220673,0.25902627264372,1.6438568321751181
BraA02g007460,0.3887473416420677,0.3306018107544508,0.48067602911838864,0.4386912609278196,1.638716442442727
BraA07g040140,0.41443835905128623,0.3690450688808896,0.48067602911838864,0.3737041517440959,1.6378636087946603
BraA09g049050,0.41443835905128623,0.3690450688808896,0.44043543606228863,0.3811690334140544,1.6050878974085188
BraA03g060810,0.3887473416420677,0.3306018107544508,0.48067602911838864,0.37545769386316896,1.5754828753780763
BraA03g042070,0.3643287206086984,0.3375415702864446,0.4684173172462745,0.3210765742569016,1.491364182398319
BraA09g051180,0.37169934007781025,0.38543345372158394,0.41867459190915507,0.31486720190588935,1.4906745876144385
BraA08g036120,0.37169934007781025,0.38543345372158394,0.41867459190915507,0.31127728975576563,1.4870846754643148
BraA08g001220,0.3404554530936658,0.2836478950180375,0.45703307023392176,0.3913570238330894,1.4724934421787146
BraA04g026680,0.3547232394341288,0.29388474518308005,0.46455212834069176,0.33784116105814793,1.4510012740160485
BraA02g010980,0.3887473416420677,0.3306018107544508,0.48067602911838864,0.24849209173093276,1.44851727324584
BraA03g023180,0.41443835905128623,0.3690450688808896,0.44043543606228863,0.20866517002996923,1.4325840340244338
BraA07g031720,0.3547232394341288,0.29388474518308005,0.46455212834069176,0.3180717456956786,1.431231858653579
BraA03g020360,0.3627232672502558,0.31872365522030405,0.45703307023392176,0.28388651748207966,1.4223665101865612
BraA05g008470,0.37169934007781025,0.38543345372158394,0.41867459190915507,0.23185498826553472,1.407662373974084
BraA03g032800,0.33079656923883255,0.2699646321943946,0.41220343708810714,0.38125780290175837,1.3942224414230926
BraA03g005810,0.33079656923883255,0.2699646321943946,0.41220343708810714,0.3689579794091318,1.381922617930466
BraA07g040720,0.3627232672502558,0.31872365522030405,0.3926701364245725,0.2748916784114538,1.349008737306586
BraA08g005450,0.3627232672502558,0.31872365522030405,0.3787691371793571,0.2886010051759468,1.3488170648258637
BraA06g011170,0.3404554530936658,0.2877520285553322,0.45703307023392176,0.25566101556394827,1.340901567446868
BraA02g041120,0.34261726055392283,0.2965982663043432,0.4581486363175506,0.22183499877409896,1.3191991619499155
BraA07g010850,0.33079656923883255,0.2699646321943946,0.41220343708810714,0.27874963272953296,1.2917142712508671
BraA07g008140,0.3627232672502558,0.31872365522030405,0.3787691371793571,0.22634495363037765,1.2865610132802947
BraA01g006060,0.3142854042587553,0.2877520285553322,0.32052874378992197,0.35788297866409274,1.280449155268102
BraA10g032420,0.27750377407745147,0.23014594079614337,0.3478973952122755,0.41508754817103266,1.270634658256903
BraA07g030990,0.33079656923883255,0.2699646321943946,0.41220343708810714,0.22516458408910076,1.238129222610435
BraA09g055280,0.3142854042587553,0.27262566328075605,0.32052874378992197,0.3159221107567817,1.223361922086215
BraA01g019020,0.3145527363403896,0.3346696787382459,0.35183229759905843,0.19754372151313565,1.1985984341908296
BraA08g006340,0.3142854042587553,0.2877520285553322,0.32052874378992197,0.273458960305432,1.1960251369094415
BraA06g033650,0.33079656923883255,0.2699646321943946,0.41220343708810714,0.17328234874845727,1.1862469872697914
BraA05g032630,0.275471479372665,0.22952108207662705,0.38204465999001136,0.2881802680973247,1.175217489536628
BraA09g046140,0.2932617732999429,0.23014594079614337,0.3926701364245725,0.25525020600439985,1.1713280565250586
BraA06g017340,0.27379691750932833,0.20830501565844697,0.38119582023725035,0.2920525323295074,1.155350285734533
